Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,IGN_title,IGN_year,IGN_score,IGN_source,GS_title,GS_year,GS_review,GS_metacritic,GS_user,GS_source,Gs_source
Wii Party,Wii,2010,Misc,Nintendo,1.75,3.47,2.49,0.67,8.38,68.0,42.0,7.4,54.0,Nd Cube,E,Wii Party,2010,7,https://ca.ign.com/games/wii-party/wii-73533,Wii Party,2010,8,68,7.7,https://www.gamespot.com/wii-party/,
Mario Party 8,Wii,2007,Misc,Nintendo,3.74,2.24,1.58,0.7,8.27,62.0,41.0,6.3,190.0,Hudson,E,,,,,Mario Party 8,2007,6.5,62,7.4,https://www.gamespot.com/mario-party-8/,
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16,88.0,37.0,6.6,348.0,Electronic Arts,E,FIFA Soccer 13,2012,9,https://ca.ign.com/games/fifa-2013/ps3-115679,FIFA Soccer 13,2012,5.5,86,7.7,https://www.gamespot.com/fifa-soccer-13/,
GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,,,,,,,GoldenEye 007,,9,https://ca.ign.com/articles/1997/08/26/goldeneye-007,GoldenEye 007,1997,9.8,96,9.4,https://www.gamespot.com/goldeneye-007/,
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2.79,1.72,3.14,0.41,8.07,,,,,,,,,,,,,,,,,
Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92.0,53.0,8.7,1056.0,SquareSoft,T,,,,,Final Fantasy X,2001,9.3,92,9.3,https://www.gamespot.com/final-fantasy-x/,
The Sims 3,PC,2009,Simulation,Electronic Arts,0.99,6.42,0.0,0.6,8.01,86.0,75.0,7.6,886.0,The Sims Studio,T,,,,,The Sims 3,2009,9,86,8.1,https://www.gamespot.com/the-sims-3/,
Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.57,3.86,0.66,0.91,7.99,,,,,,,,,,,,,,,,,
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.99,3.49,0.22,1.28,7.98,,,,,,,,,,,,,,,,,
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,90.0,24.0,8.6,644.0,SquareSoft,T,Final Fantasy VIII,,9,https://ca.ign.com/articles/1999/09/11/final-fantasy-viii-3,Final Fantasy VIII,1999,6.7,,9.1,https://www.gamespot.com/final-fantasy-viii/,
Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,,,,,,,Pac-Man,,7,https://ca.ign.com/articles/1999/09/04/pac-man-2,Pac-Man,1980,5.6,,7.4,https://www.gamespot.com/pac-man/,
Pokemon Platinum Version,DS,2008,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.72,83.0,46.0,8.5,203.0,Game Freak,E,Pokemon Platinum Version,2009,8.8,https://ca.ign.com/games/pokemon-platinum-version/nds-14254510,,,,,,,
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,88.0,65.0,7.6,451.0,Rockstar Leeds,M,,,,,Grand Theft Auto: Liberty City Stories,2005,8.6,88,8.6,https://www.gamespot.com/grand-theft-auto-liberty-city-stories/,
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.81,3.48,0.14,1.23,7.66,83.0,39.0,5.7,1443.0,Sledgehammer Games,M,Call of Duty: Advanced Warfare,2014,9.1,https://ca.ign.com/games/call-of-duty-advance-warfare/pc-20017432,Call of Duty: Advanced Warfare,2014,8,78,7,https://www.gamespot.com/call-of-duty-advanced-warfare/,
The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,,,,,,,The Legend of Zelda: Ocarina of Time,,1,https://ca.ign.com/articles/2007/02/27/the-legend-of-zelda-ocarina-of-time,The Legend of Zelda: Ocarina of Time,1998,10,99,9.6,https://www.gamespot.com/the-legend-of-zelda-ocarina-of-time/,
FIFA 17,PS4,2016,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85.0,41.0,5.0,398.0,"EA Sports, EA Vancouver",E,FIFA 17,2016,8.4,https://ca.ign.com/games/fifa-2017/pc-20052736,FIFA 17,2016,9,84,7.4,https://www.gamespot.com/fifa-17/,
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,,,,,,,Crash Bandicoot 2: Cortex Strikes Back,,8,https://ca.ign.com/articles/1997/11/05/crash-bandicoot-2-cortex-strikes-back,Crash Bandicoot 2: Cortex Strikes Back,1997,8.6,,8.6,https://www.gamespot.com/crash-bandicoot-2-cortex-strikes-back/,
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3.27,1.37,2.43,0.48,7.55,,,,,,,,,,,,,,,,,
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.56,2.35,0.98,0.62,7.51,97.0,87.0,9.1,1854.0,Nintendo EAD Tokyo,E,,,,,Super Mario Galaxy 2,2010,10,97,9,https://www.gamespot.com/super-mario-galaxy-2/,
Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,,,,,,,Super Mario Bros. 2,1988,8.5,https://ca.ign.com/games/super-mario-bros-2/nes-6695,Super Mario Bros. 2,1988,8,,8.1,https://www.gamespot.com/super-mario-bros-2/,
